"macro_zona","franja","temp_ver","temp_inv","superf","res_term","n_elec_gr","edad_elec","n_ocup","ing_fam","horas_uso","consumo"
"sur","cordillera",21.8,1.7,118.7,0.85,3,7.6,4,1422,50.3,17.2
"sur","valle",23.8,4.8,105.8,1.04,3,5.3,4,968,49.2,10.3
"sur","costa",22.9,3.1,72.9,1.21,1,11.5,3,911,17.4,6.8
"centro","costa",19.9,7.9,160,0.78,3,7.4,5,1680,51.5,20.5
"sur","costa",23,3.6,185.5,0.99,4,5.1,7,1682,75.9,22.5
"centro","costa",19.7,7.5,133.7,0.88,3,3.7,3,1132,45.2,13.6
"norte","valle",26.7,9.2,122.9,1.32,3,9.8,6,1781,55.3,9.7
"centro","costa",20.1,8.1,86.3,0.51,3,6.4,4,741,50,12.5
"centro","cordillera",27.7,2.3,171.5,1.05,4,8.1,6,2038,75.9,22.3
"norte","costa",24.8,13,92.2,0.34,2,9.2,4,1357,34.5,17.5
"centro","costa",20,7.6,94,0.3,3,6.9,2,871,44.4,15.6
"sur","cordillera",22.1,1.7,78,0.61,3,5.8,2,565,46.4,11.6
"centro","costa",19.7,7.9,48.9,0.07,2,5.9,2,402,31.4,11.6
"norte","valle",26.5,9.3,112.8,0.56,3,5.6,5,1375,50,16.7
"norte","cordillera",24.9,2.1,115.1,0.5,3,3,2,1211,43.2,17
"centro","costa",19.4,8.1,97.1,0.72,3,8,3,842,47.4,11.8
"centro","costa",20.2,8.3,80.1,1.08,3,4.8,2,576,44.8,4
"sur","cordillera",21.2,1.2,77.6,1.41,2,2.9,2,579,32.3,4
"norte","costa",24.4,13.5,262.8,1.86,5,8.6,9,3135,97.2,18.9
"sur","cordillera",22.8,1.9,71.4,0.7,2,9.2,1,855,26.5,11.3
"sur","valle",25.4,3.9,129.1,1.34,3,15.2,6,1637,51,14.9
"centro","costa",19.3,7.8,61.8,0.64,2,10.1,4,791,32.7,9.7
"centro","valle",31.5,3.3,98.6,1.39,3,8.1,5,1164,52.1,6.4
"sur","cordillera",23.1,2.2,142.7,1.79,3,6.1,6,1523,52.1,10.9
"sur","cordillera",22.6,2.1,56.3,0.87,1,6.3,4,631,16.5,7.4
"sur","valle",23.8,3.8,114.5,0.72,3,6.3,4,1209,46.8,16
"centro","valle",29,3.6,149.5,1.26,4,6.6,4,1619,66.4,14.3
"norte","costa",24.2,13,101.8,0.45,3,8.2,2,997,43.8,15.1
"centro","costa",20.7,8.9,132.4,0.46,4,6.5,3,1344,57,19.4
